,name,url,world_ranking,world_tour_ranking,age,birthdate,hand,place_of_birth,height,current_residence,language
0,BAO XIN Da Gu La Wai,https://bwfbadminton.com/player/76272/bao-xin-da-gu-la-wai,-,-,14,14/02/2006,N/A,,,,
1,CAI Mu Lu,https://bwfbadminton.com/player/76178/cai-mu-lu,-,-,23,30/07/1997,N/A,,,,
2,CAO Shu Ying,https://bwfbadminton.com/player/72545/cao-shu-ying,-,-,20,07/06/2000,N/A,,,,
3,Nicole Gonzales CHAN,https://bwfbadminton.com/player/62713/nicole-gonzales-chan,-,-,15,13/12/2004,N/A,,,,
4,CHAN Wen Chi,https://bwfbadminton.com/player/62815/chan-wen-chi,-,-,13,15/09/2006,N/A,,,,
5,CHAN Yueh Lin,https://bwfbadminton.com/player/83077/chan-yueh-lin,-,-,16,31/10/2003,N/A,,,,
6,CHAN Cheng-Hao,https://bwfbadminton.com/player/99020/chan-cheng-hao,-,-,16,05/11/2003,N/A,,,,
7,CHAN CHIA YIN,https://bwfbadminton.com/player/75258/chan-chia-yin,-,-,16,10/06/2004,N/A,,,,
8,CHAN Jen-Chi,https://bwfbadminton.com/player/61984/chan-jen-chi,-,-,20,07/01/2000,N/A,,,,
9,CHAN Kuan Yi,https://bwfbadminton.com/player/71878/chan-kuan-yi,-,-,18,21/09/2001,N/A,,,,
10,CHANG Ju Ping,https://bwfbadminton.com/player/76397/chang-ju-ping,-,-,51,13/03/1969,N/A,,,,
11,CHANG Wen-Sung,https://bwfbadminton.com/player/69/chang-wen-sung,-,-,60,17/07/1960,Right Handed,,,,
12,CHANG Ya Han,https://bwfbadminton.com/player/72486/chang-ya-han,-,-,13,29/08/2007,N/A,,,,
13,CHANG Wen Sung,https://bwfbadminton.com/player/58730/chang-wen-sung,-,-,60,17/07/1960,N/A,,,,
14,CHANG Yen,https://bwfbadminton.com/player/72551/chang-yen,-,-,16,16/10/2003,N/A,,,,
15,CHANG Ching-Yuan,https://bwfbadminton.com/player/77939/chang-ching-yuan,-,-,22,21/09/1997,N/A,,,,
16,CHANG Yen-Ting,https://bwfbadminton.com/player/79795/chang-yen-ting,227,-,20,30/09/1999,N/A,,,,
17,CHANG Kai Liang,https://bwfbadminton.com/player/64996/chang-kai-liang,-,-,-,N/A,N/A,,,,
18,CHANG Yu-Chi,https://bwfbadminton.com/player/83673/chang-yu-chi,-,-,17,06/10/2002,N/A,,,,
19,CHANG Ting Kai,https://bwfbadminton.com/player/73338/chang-ting-kai,-,-,22,03/10/1997,N/A,,,,
20,CHANG En Chia,https://bwfbadminton.com/player/87312/chang-en-chia,-,-,23,10/09/1996,N/A,,,,
21,CHANG Fang-Chi,https://bwfbadminton.com/player/70541/chang-fang-chi,-,-,19,07/09/2000,N/A,,,,
22,CHANG Kai-Ti,https://bwfbadminton.com/player/63799/chang-kai-ti,-,-,17,01/03/2003,N/A,,,,
23,CHANG Ya Lan,https://bwfbadminton.com/player/14865/chang-ya-lan,-,-,34,05/06/1986,N/A,,,,
24,CHANG Tzu-Yun,https://bwfbadminton.com/player/69204/chang-tzu-yun,-,-,19,24/06/2001,N/A,,,,
25,Ya-Han CHANG,https://bwfbadminton.com/player/84222/ya-han-chang,-,-,25,16/04/1995,N/A,,,,
26,CHANG Ching  Hui,https://bwfbadminton.com/player/75270/chang-ching-hui,-,31,24,17/05/1996,Right Handed,Keelung Taiwan,165.00cm,165.00cm,Mandarin
27,CHANG Chao Ning,https://bwfbadminton.com/player/59594/chang-chao-ning,-,-,24,15/01/1996,N/A,Keelung Taiwan,165.00cm,165.00cm,Mandarin
28,CHANG Chia-Hsuan,https://bwfbadminton.com/player/95860/chang-chia-hsuan,-,-,19,12/02/2001,N/A,Keelung Taiwan,165.00cm,165.00cm,Mandarin
29,CHANG Kai-Hsiang,https://bwfbadminton.com/player/87720/chang-kai-hsiang,-,-,17,29/10/2002,N/A,Keelung Taiwan,165.00cm,165.00cm,Mandarin
